"col.name","mean","median","sd"
"FUH.30_.",574.410054512417,586,301.055246508611
"FUH.7_.",567.502725620836,606,280.606188767077
"HBIPS.2_Overall_Num",441.423985463356,384,360.73707978726
"HBIPS.2_Overall_Rate_Per_1000",29.4712295578437,7,50.2372394978671
"HBIPS.3_Overall_Num",287.677165354331,146,287.686880425876
"HBIPS.3_Overall_Rate_Per_1000",21.3161720169594,3,39.8948387199294
"HBIPS.5_Overall_._of_Total",280.600242277408,383,138.379780796454
"HBIPS.5_Overall_Num",77.2507571168989,110,45.4104525849708
"HCP_.",61.5517867958813,71,27.0814296456799
"IMM.2_.",508.414900060569,534,342.929766458539
"SUB.1_.",368.741974560872,420,265.491345611574
"SUB.2_.",443.018776499091,501,282.184088224743
"SUB.2a_.",468.409448818898,538,276.685001085742
"TOB.1_.",232.464566929134,235,208.434012052017
"TOB.2_.",546.582677165354,578,351.131621237779
"TOB.2a_.",624.578437310721,662,371.251048436327
"TOB.3_.",517.740763173834,567,339.684883426192
"TOB.3a_.",235.019382192611,365,170.43608129126
